TitleID;Game;Xefu
5655003F;Scarface;xefu6
5451001F;Scooby-Doo! Night of 100 Frights;xefu
454C0001;Scrapland;xefu
41560050;Sea World: Shamu’s Deep Sea Adventures;xefu
434D0047;Second Sight;xefu2019
4947002C;Sega GT 2002;xefu7
53450003;Sega GT 2002;xefu7
53450021;Sega GT Online;xefu7
49470029;Sega Soccer Slam;xefu
53450014;Sega Soccer Slam;xefu
4B4F0005;Sengoku Musou;xefu
54540004;Serious Sam;xefu5
49470025;Shadow Ops: Red Mercury;xefu7
53450086;Shadow the Hedgehog;xefu
41560038;Shark Tale;xefu5
54540083;Shattered Union;xefu7
45530013;ShellShock: Nam ’67;xefu
4D530032;Shenmue II;xefu6
45460001;Shinchou Mahjong (Nobunaga Mahjong);xefu5
4143001D;Showdown: Legends of Wrestling;xefu6
41560037;Shrek 2;xefu6
544D0004;Shrek: Super Party;xefu7
5454008F;Sid Meier's Pirates! ™;xefu5
4B4E0004;Silent Hill 2: Restless Dreams;xefu6
4B4E001F;Silent Hill 4;xefu3
4E4D0001;Smashing Drive;xefu3
4D530023;Sneakers;xefu5
4D49000D;Sniper Elite;xefu
5345002B;Sonic Heroes;xefu
5345003C;SONIC MEGACOLLECTION PLUS;xefu
53450087;Sonic Riders;xefu7
4E4D0003;SOULCALIBUR2;xefu7
4E4D000C;Spawn: Armageddon;xefu3
4143000B;Speed Kings;xefu
54510023;Sphinx;xefu
41560006;Spider-Man;xefu3
4343000A;Spider-Man;xefu3
4156002B;Spider-Man 2;xefu7
53450029;SPIKEOUT Battle Street;xefu7
4947001B;Splashdown;xefu7
54540093;Splat Renegade Paintball;xefu
5553000C;Splinter Cell;xefu2
55530019;Splinter Cell 2;xefu2
55530041;Splinter Cell-CT vs;xefu3
5553005E;Splinter Cell-DA;xefu6
545100FA;SpongeBob SquarePants: Lights, Camera, Pants!;xefu6
4D570037;Spy Hunter: Nowhere to Run;xefu5
4D57001B;SpyHunter 2;xefu
56550034;Spyro: A Hero’s Tail;xefu
4541003C;SSX 3;xefu3
45410082;SSX™ On Tour;xefu7
4D440004;Stake: Fortune Fighters;xefu
544D0010;Star Trek: Shattered Universe;xefu
4C410003;Star Wars - Knights of the Old Republic;xefu
4C410013;Star Wars - Republic Commando;xefu7
4C410004;Star Wars - The Clone Wars;xefu
4C41001A;Star Wars Battlefront 2;xefu3
4C410017;Star Wars Episode III: Revenge of the Sith;xefu
4C41000B;Star Wars Jedi Knight: Jedi Academy;xefu
4C410011;Star Wars: Battlefront;xefu3
4C410005;Star Wars: Jedi Starfighter;xefu7
4C410014;Star Wars: Knights of the Old Republic II: The Sith Lords;xefu
454D0005;Starsky & Hutch;xefu7
54540006;State of Emergency;xefu3
4343000F;Street Fighter Anniversary Collection;xefu7
4E4D0013;Street Racing Syndicate;xefu
41590002;Stubbs the Zombie in Rebel Without a Pulse;xefu
4A410004;Super Bubble Pop;xefu
53450038;Super Monkey Ball Deluxe;xefu
4C410019;SW: Republic Commando;xefu7
41430010;SX Superstar;xefu
4D490006;Syberia;xefu7
4D490008;Syberia 2;xefu7
53550005;Takahashi Junko no Mahjong Seminar;xefu3
4947000D;Taz Wanted;xefu5
5443000E;Tecmo Classic Arcade;xefu
41500001;Tenerezza;xefu5
4D53002F;Tenku - Freestyle Snowboarding;xefu3
4947003B;Terminator 3 - ROTM;xefu7
4947003E;Terminator 3: The Redemption;xefu7
49470007;Test Drive;xefu7
49470075;Test Drive: Eve of Destruction;xefu
5451000A;Tetris Worlds;xefu
53550006;Tetris Worlds (J);xefu
5451001C;Tetris Worlds Online;xefu7
49580001;The Bard’s Tale;xefu7
42560003;The Chronicles of Narnia: The Lion, the ;xefu7
545400AB;The Da Vinci Code;xefu7
42530001;The Elder Scrolls III - Morrowind;xefu7
55530015;The Elder Scrolls III: Morrowind;xefu7
42530005;The Elder Scrolls III: Morrowind - Game of the Year Edition;xefu7
54510020;The Fairly OddParents! Breakin’ Da Rules;xefu
56550004;The Fellowship of the Ring;xefu7
4541007D;The Godfather™;xefu7
53430003;The Great Escape;xefu
5454007B;The Guy Game;xefu7
53450008;The House of the Dead III;xefu
56550039;The Incredible Hulk:Ultimate Destruction;xefu
54510028;The Incredibles;xefu5
545100F6;The Incredibles: Rise of the Underminer;xefu3
534E0006;The King of Fighters 2002;xefu7
534E000A;The King of Fighters NeoWave;xefu7
5655004A;The Legend of Spyro: A New Beginning;xefu5
4947007C;The Matrix: PON;xefu7
54510018;The Punisher;xefu3
4541003E;The Return of the King™;xefu
56550015;The Simpsons Hit & Run;xefu
45410013;The Simpsons Road Rage;xefu
4541038B;The Sims 2;xefu7
5451001A;The SpongeBob SquarePants Movie;xefu
54510027;The SpongeBob SquarePants Movie;xefu5
4D570015;The Suffering;xefu3
49470026;The Terminator: Dawn of Fate;xefu
5655000D;The Thing;xefu
56560003;The Thing;xefu
45410010;The Two Towers(tm);xefu7
45410060;The Urbz: Sims in the City;xefu7
5454009B;The Warriors;xefu7
46530003;Thousand Land;xefu7
4C410022;Thrillville;xefu6
4156003C;THUG 2;xefu
454100A4;Tiger Woods PGA Tour 07;xefu7
4553000A;TimeSplitters 2;xefu2021c
45410066;TimeSplitters FP;xefu2021c
4B4E001B;TMNT;xefu
4B4E002A;TMNT(R)3;xefu7
4B4E0023;TMNT(TM)2;xefu7
4B4E0020;TMNT: Mutant Melee;xefu6
434D0050;TOCA Race Driver 3;xefu7
5345000F;ToeJam & Earl III;xefu7
4E4B0001;Tom & Jerry in War of the Whiskers;xefu7
55530005;Tom Clancy’s Ghost Recon 2;xefu2
55530007;Tom Clancy’s Ghost Recon: Island Thunder;xefu5
41560001;Tony Hawk's Pro Skater 2X;xefu7
41560004;Tony Hawk's Pro Skater 3;xefu7
41560017;Tony Hawk's Pro Skater 4;xefu
41560049;Tony Hawk’s American Wasteland;xefu
4156002D;Tony Hawk’s Underground;xefu7
545400A9;Torino 2006;xefu3
55530040;Tork: Prehistoric Punk;xefu
54510007;Toxic Grind;xefu
49470005;TransWorld Surf;xefu7
43560009;Trigger Man;xefu3
4947003D;Trivial Pursuit Unhinged;xefu6
41560045;True Crime: New York City;xefu7
4156000E;True Crime: Streets of LA;xefu5
41430004;Turok: Evolution;xefu7
45410029;Ty the Tasmanian Tiger;xefu
45410063;Ty the Tasmanian Tiger 2: Bush Rescue;xefu
41560055;Ty the Tasmanian Tiger 3: Night of the Quinkan;xefu
4541004A;UEFA Euro 2004: Portugal;xefu
544D000A;UFC TAPOUT2;xefu7
41560035;Ultimate Spider-Man;xefu5
4D4A000C;Ultra Bust-A-Move;xefu6
53550003;Umesawa Yukari no Igo Seminar;xefu3
49470024;Unreal Championship;xefu7
4D570021;Unreal Championship 2;xefu7
4947003C;Unreal II;xefu7
4143000C;Urban Freestyle Soccer;xefu
56550029;Van Helsing;xefu7
41430005;Vexx;xefu
5454000A;Vietcong: Purple Haze;xefu3
4D530084;Volvo: Drive for Life;xefu
4156000D;Wakeboarding Unleashed;xefu5
4756000A;Warpath;xefu7
4D530027;Whacked;xefu5
4D530040;Whacked! Trial Version;xefu5
4B4F0008;WinBack 2: Project Poseidon;xefu5
54540018;Wings of War;xefu7
4B4E0027;Winning Eleven 8;xefu7
43430014;Without Warning;xefu7
5345000E;World Series Baseball;xefu
5345001A;World Series Baseball 2K3;xefu3
4B4E002F;World Soccer Winning Eleven 9;xefu3
5345002A;Worms 3D;xefu7
434D0052;Worms 4: Mayhem;xefu
4D4A0017;Worms 4: Mayhem;xefu
53450035;Worms Forts: Under Siege;xefu
4C41000F;Wrath Unleashed;xefu3
5451000D;WWE Raw 2;xefu
54510002;WWF Raw;xefu7
41560008;X2: Wolverine’s Revenge;xefu5
4D53003D;Xbox Demos;xefu7
4B4E0038;Xiaolin Showdown;xefu5
55530009;XIII;xefu
5553003D;XIII;xefu
5553803E;XIII;xefu
53550004;Yonega Kunio no Shogi Seminar;xefu3
52440001;Yourself!Fitness;xefu
4B4E001E;Yu-Gi-Oh! The Dawn of Destiny;xefu7
49470012;Zapper;xefu3
5454008C;Zathura;xefu7
4143000D;;xefu7
4143000F;;xefu7
41430014;;xefu7
41430017;;xefu7
41430018;;xefu3
4143001A;;xefu7
4143001B;;xefu7
4143001F;;xefu7
41540001;;xefu2021c
41540002;;xefu7
41540003;;xefu7
41540004;;xefu7
41560003;;xefu7
41560007;;xefu7
41560009;;xefu7
4156001B;;xefu7
4156001E;;xefu7
41560026;;xefu7
4156003B;;xefu7
4156003D;;xefu2021c
41560046;;xefu7
41560047;;xefu7
41560048;;xefu7
4156004F;;xefu7
41560054;;xefu7
4156005B;;xefu7
4156005E;;xefu7
42410002;;xefu7
42420002;;xefu7
424D0002;;xefu7
424D0003;;xefu7
42520001;;xefu7
42530004;;xefu7
42530006;;xefu7
4253000B;;xefu7
42560001;;xefu7
42560002;;xefu7
42560004;;xefu7
42570001;;xefu7
43430003;;xefu7
43430005;;xefu1_1
43430015;;xefu7
43430018;;xefu2021c
43430019;;xefu2021c
434D0001;;xefu2021c
434D0004;;xefu7
434D0006;;xefu7
434D0008;;xefu7
434D000C;;xefu7
434D000D;;xefu7
434D000F;;xefu7
434D0011;;xefu7
434D002A;;xefu7
434D003F;;xefu7
434D0046;;xefu7
434D004E;;xefu7
434D0054;;xefu7
434D005A;;xefu7
434D005B;;xefu7
43560008;;xefu7
4356000D;;xefu7
43560010;;xefu7
43560011;;xefu7
44430002;;xefu7
44430004;;xefu7
44580001;;xefu7
45410001;;xefu7
45410004;;xefu7
45410005;;xefu7
45410009;;xefu7
4541000A;;xefu7
4541000B;;xefu2021c
45410015;;xefu7
45410019;;xefu7
4541001C;;xefu7
4541001E;;xefu7
45410021;;xefu7
45410027;;xefu7
45410028;;xefu7
4541002F;;xefu7
45410031;;xefu7
45410032;;xefu7
45410035;;xefu7
45410036;;xefu7
